fixture_id,event_name,team_id,team_scrummy_id,event_timestamp,x_position,y_position
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,2,d9465fd5-2419-4973-932a-0d13642a41a6,2023.845522880554,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,2023.84946680069,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Turn Over,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2029.221281051636,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Held Up Over Line,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2035.575877904892,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Goal-Line Drop-Out,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2075.510071754456,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2075.514008998871,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Dangerous Tackle,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2104.566980838776,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick At Goal,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2106.944181919098,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick At Goal Position,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2140.99299287796,14.02356902356902,22.83950497405697
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty Kick Scored,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2142.359459877014,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick-Off,2,d9465fd5-2419-4973-932a-0d13642a41a6,2171.503348827362,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2175.162973880768,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2180.694534778595,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick To Touch From Inside 22,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2183.2751288414,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Half-Time,2,d9465fd5-2419-4973-932a-0d13642a41a6,2184.842574834824,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick-Off,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2184.846820831299,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,2,d9465fd5-2419-4973-932a-0d13642a41a6,2187.581971883774,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,2,d9465fd5-2419-4973-932a-0d13642a41a6,2214.19002366066,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2216.014200925827,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,2239.043607950211,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,2,d9465fd5-2419-4973-932a-0d13642a41a6,2253.865097761154,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Offside,2,d9465fd5-2419-4973-932a-0d13642a41a6,2261.919908761978,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick,2,d9465fd5-2419-4973-932a-0d13642a41a6,2282.548400640488,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick To Touch,2,d9465fd5-2419-4973-932a-0d13642a41a6,2284.219432830811,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout,2,d9465fd5-2419-4973-932a-0d13642a41a6,2288.997322797775,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,2289.001886606216,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Dangerous Tackle,2,d9465fd5-2419-4973-932a-0d13642a41a6,2311.83740067482,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick,2,d9465fd5-2419-4973-932a-0d13642a41a6,2313.76414680481,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick To Touch,2,d9465fd5-2419-4973-932a-0d13642a41a6,2314.70933175087,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout,2,d9465fd5-2419-4973-932a-0d13642a41a6,2383.442292928696,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,2383.446433782578,,
